"","project","park","site","Year","Species","No","No.se","No.LCI","No.UCI","p","p.se","p.LCI","p.UCI"
"889","NCRN","CHOH","ISCR","2004","Rhinichthys atratulus",32.11,8.4,15.66,48.57,0.53,0.2,0.13,0.92
"890","NCRN","CHOH","ISCR","2004","Rhinichthys cataractae",94.37,5.02,84.53,104.2,0.72,0.07,0.58,0.86
"892","NCRN","CHOH","GRSR","2004","Catostomus commersonnii",1,0,1,1,1,0,1,1
"893","NCRN","CHOH","GRSR","2004","Cottus caeruleomentum",2,0,2,2,1,0,1,1
"894","NCRN","CHOH","GRSR","2004","Cottus girardi",164.76,4.44,156.07,173.46,0.78,0.05,0.69,0.87
"895","NCRN","CHOH","GRSR","2004","Etheostoma caeruleum",5.33,0.99,3.39,7.28,0.75,0.28,0.2,1.3
"897","NCRN","CHOH","GRSR","2004","Lepomis cyanellus",1,0,1,1,1,0,1,1
"898","NCRN","CHOH","GRSR","2004","Margariscus margarita",1,0,1,1,1,0,1,1
"899","NCRN","CHOH","GRSR","2004","Rhinichthys atratulus",8.17,0.55,7.09,9.24,0.86,0.15,0.56,1.16
"900","NCRN","CHOH","GRSR","2004","Semotilus atromaculatus",11.57,1.22,9.18,13.96,0.78,0.17,0.44,1.12
"901","NCRN","CHOH","CABR","2004","Ameiurus natalis",5,0,5,5,1,0,1,1
"903","NCRN","CHOH","CABR","2004","Catostomus commersonnii",8,0,8,8,1,0,1,1
"904","NCRN","CHOH","CABR","2004","Cyprinella spiloptera",140.32,3.49,133.48,147.16,0.81,0.05,0.72,0.89
"905","NCRN","CHOH","CABR","2004","Etheostoma flabellare",1,0,1,1,1,0,1,1
"906","NCRN","CHOH","CABR","2004","Etheostoma olmstedi",16.33,0.78,14.81,17.86,0.86,0.11,0.65,1.07
"907","NCRN","CHOH","CABR","2004","Lepomis cyanellus",9.8,1.68,6.51,13.09,0.71,0.23,0.27,1.16
"910","NCRN","CHOH","CABR","2004","Micropterus salmoides",1,0,1,1,1,0,1,1
"912","NCRN","CHOH","CABR","2004","Notropis hudsonius",12.5,10.61,-8.29,33.29,0.4,0.44,-0.46,1.26
"913","NCRN","CHOH","CABR","2004","Pimephales notatus",62.45,4.49,53.64,71.26,0.7,0.09,0.52,0.89
"914","NCRN","CHOH","CABR","2004","Rhinichthys atratulus",1,0,1,1,1,0,1,1
"915","NCRN","CHOH","CABR","2004","Semotilus atromaculatus",15,0,15,15,1,0,1,1
"916","NCRN","CHOH","SVSR","2004","Ameiurus natalis",1,0,1,1,1,0,1,1
"917","NCRN","CHOH","SVSR","2004","Campostoma anomalum",172.37,1.41,169.62,175.13,0.91,0.02,0.86,0.96
"918","NCRN","CHOH","SVSR","2004","Catostomus commersonnii",37.12,0.39,36.35,37.89,0.94,0.04,0.86,1.02
"919","NCRN","CHOH","SVSR","2004","Cottus caeruleomentum",404.52,38.35,329.36,479.68,0.48,0.06,0.36,0.61
"920","NCRN","CHOH","SVSR","2004","Cottus girardi",116.12,11.32,93.94,138.31,0.59,0.09,0.42,0.77
"921","NCRN","CHOH","SVSR","2004","Cyprinella spiloptera",3,0,3,3,1,0,1,1
"922","NCRN","CHOH","SVSR","2004","Etheostoma blennioides",23.27,3.03,17.33,29.21,0.69,0.16,0.37,1
"923","NCRN","CHOH","SVSR","2004","Etheostoma caeruleum",130.8,5.71,119.61,141.98,0.73,0.06,0.61,0.85
"924","NCRN","CHOH","SVSR","2004","Etheostoma flabellare",139.6,13.37,113.39,165.8,0.58,0.09,0.41,0.75
"925","NCRN","CHOH","SVSR","2004","Etheostoma olmstedi",5.33,0.99,3.39,7.28,0.75,0.28,0.2,1.3
"926","NCRN","CHOH","SVSR","2004","Hypentelium nigricans",1,0,1,1,1,0,1,1
"927","NCRN","CHOH","SVSR","2004","Lepomis cyanellus",9,13.42,-17.3,35.3,0.33,0.61,-0.86,1.53
"928","NCRN","CHOH","SVSR","2004","Luxilus cornutus",47.68,1.05,45.61,49.74,0.88,0.06,0.77,0.99
"929","NCRN","CHOH","SVSR","2004","Micropterus dolomieu",1,0,1,1,1,0,1,1
"930","NCRN","CHOH","SVSR","2004","Moxostoma erythrurum",13.09,0.36,12.39,13.79,0.92,0.09,0.75,1.09
"931","NCRN","CHOH","SVSR","2004","Nocomis micropogon",1,0,1,1,1,0,1,1
"933","NCRN","CHOH","SVSR","2004","Pimephales notatus",208.01,2.22,203.65,212.36,0.88,0.03,0.83,0.93
"934","NCRN","CHOH","SVSR","2004","Rhinichthys atratulus",272.45,8.59,255.62,289.29,0.72,0.04,0.64,0.8
"935","NCRN","CHOH","SVSR","2004","Rhinichthys cataractae",73.92,4.54,65.02,82.82,0.72,0.08,0.55,0.88
"936","NCRN","CHOH","SVSR","2004","Semotilus atromaculatus",10.67,1.41,7.91,13.42,0.75,0.2,0.36,1.14
"937","NCRN","CHOH","SVSR","2004","Semotilus corporalis",18.06,0.28,17.51,18.61,0.94,0.06,0.82,1.06
"938","NCRN","CHOH","MUBR","2004","Ameiurus natalis",5,0,5,5,1,0,1,1
"939","NCRN","CHOH","MUBR","2004","Anguilla rostrata",1,0,1,1,1,0,1,1
"940","NCRN","CHOH","MUBR","2004","Campostoma anomalum",164.24,24.57,116.08,212.4,0.48,0.1,0.29,0.68
"941","NCRN","CHOH","MUBR","2004","Catostomus commersonnii",40.5,14.88,11.33,69.67,0.44,0.22,0.01,0.87
"942","NCRN","CHOH","MUBR","2004","Cottus caeruleomentum",81,296.86,-500.84,662.84,0.11,0.43,-0.74,0.96
"943","NCRN","CHOH","MUBR","2004","Cottus girardi",97.59,6.24,85.36,109.81,0.69,0.08,0.53,0.84
"946","NCRN","CHOH","MUBR","2004","Etheostoma flabellare",126.87,8.92,109.39,144.35,0.65,0.08,0.5,0.8
"947","NCRN","CHOH","MUBR","2004","Etheostoma olmstedi",16,6.93,2.42,29.58,0.5,0.31,-0.1,1.1
"948","NCRN","CHOH","MUBR","2004","Hypentelium nigricans",1,0,1,1,1,0,1,1
"949","NCRN","CHOH","MUBR","2004","Ictalurus punctatus",2,0,2,2,1,0,1,1
"950","NCRN","CHOH","MUBR","2004","Lepomis auritus",4.5,1.5,1.56,7.44,0.67,0.38,-0.09,1.42
"952","NCRN","CHOH","MUBR","2004","Lepomis macrochirus",29.39,0.79,27.84,30.95,0.88,0.07,0.75,1.02
"956","NCRN","CHOH","MUBR","2004","Pimephales notatus",116,18.65,79.44,152.56,0.5,0.11,0.28,0.72
"957","NCRN","CHOH","MUBR","2004","Rhinichthys atratulus",56.25,10.88,34.92,77.58,0.53,0.15,0.24,0.83
"958","NCRN","CHOH","MUBR","2004","Rhinichthys cataractae",89.6,8.42,73.09,106.11,0.62,0.1,0.44,0.81
"959","NCRN","CHOH","MUBR","2004","Semotilus atromaculatus",1,0,1,1,1,0,1,1
"960","NCRN","HAFE","ELRD","2004","Catostomus commersonnii",2,0,2,2,1,0,1,1
"962","NCRN","HAFE","ELRD","2004","Etheostoma caeruleum",24.5,30.31,-34.91,83.91,0.29,0.42,-0.53,1.11
"963","NCRN","HAFE","ELRD","2004","Lepomis cyanellus",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"964","NCRN","HAFE","ELRD","2004","Lepomis gibbosus",1,0,1,1,1,0,1,1
"965","NCRN","HAFE","ELRD","2004","Nocomis micropogon",1,0,1,1,1,0,1,1
"966","NCRN","HAFE","ELRD","2004","Pimephales notatus",16.33,10.32,-3.89,36.56,0.43,0.36,-0.27,1.13
"967","NCRN","HAFE","ELRD","2004","Rhinichthys atratulus",57.04,5.9,45.47,68.61,0.65,0.11,0.43,0.87
"968","NCRN","HAFE","ELRD","2004","Semotilus corporalis",1,0,1,1,1,0,1,1
"969","NCRN","HAFE","ELRU","2004","Ameiurus natalis",1,0,1,1,1,0,1,1
"970","NCRN","HAFE","ELRU","2004","Campostoma anomalum",1,0,1,1,1,0,1,1
"972","NCRN","HAFE","ELRU","2004","Etheostoma caeruleum",8.33,2.94,2.57,14.1,0.6,0.33,-0.06,1.26
"973","NCRN","HAFE","ELRU","2004","Etheostoma flabellare",1,0,1,1,1,0,1,1
"974","NCRN","HAFE","ELRU","2004","Lepomis cyanellus",13.5,2.6,8.41,18.59,0.67,0.22,0.23,1.1
"975","NCRN","HAFE","ELRU","2004","Luxilus cornutus",2,0,2,2,1,0,1,1
"977","NCRN","HAFE","ELRU","2004","Pimephales notatus",12,0,12,12,1,0,1,1
"978","NCRN","HAFE","ELRU","2004","Rhinichthys atratulus",30.77,4.3,22.33,39.21,0.65,0.15,0.35,0.95
"981","NCRN","MONO","SGAM","2004","Campostoma anomalum",80.41,5.35,69.93,90.89,0.7,0.08,0.53,0.86
"982","NCRN","MONO","SGAM","2004","Catostomus commersonnii",18,18.97,-19.19,55.19,0.33,0.43,-0.51,1.18
"983","NCRN","MONO","SGAM","2004","Cottus caeruleomentum",150.13,15.48,119.79,180.46,0.56,0.09,0.39,0.73
"984","NCRN","MONO","SGAM","2004","Cottus girardi",21.78,3.77,14.39,29.16,0.64,0.19,0.28,1.01
"985","NCRN","MONO","SGAM","2004","Cyprinella spiloptera",16.07,0.31,15.47,16.67,0.93,0.07,0.8,1.07
"986","NCRN","MONO","SGAM","2004","Etheostoma blennioides",36.45,2.76,31.05,41.85,0.74,0.11,0.53,0.96
"987","NCRN","MONO","SGAM","2004","Etheostoma caeruleum",4,0,4,4,1,0,1,1
"988","NCRN","MONO","SGAM","2004","Etheostoma flabellare",8.17,0.55,7.09,9.24,0.86,0.15,0.56,1.16
"990","NCRN","MONO","SGAM","2004","Hypentelium nigricans",4,0,4,4,1,0,1,1
"992","NCRN","MONO","SGAM","2004","Lepomis auritus",18.29,0.69,16.93,19.64,0.88,0.09,0.69,1.06
"993","NCRN","MONO","SGAM","2004","Lepomis cyanellus",2,0,2,2,1,0,1,1
"995","NCRN","MONO","SGAM","2004","Lepomis megalotis",1,0,1,1,1,0,1,1
"996","NCRN","MONO","SGAM","2004","Micropterus dolomieu",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"997","NCRN","MONO","SGAM","2004","Notropis procne",1,0,1,1,1,0,1,1
"998","NCRN","MONO","SGAM","2004","Notropis rubellus",1,0,1,1,1,0,1,1
"999","NCRN","MONO","SGAM","2004","Pimephales notatus",20.25,10.52,-0.38,40.88,0.44,0.31,-0.16,1.05
"1000","NCRN","MONO","SGAM","2004","Rhinichthys atratulus",99.06,3.1,92.98,105.15,0.8,0.06,0.69,0.91
"1001","NCRN","MONO","SGAM","2004","Rhinichthys cataractae",244.57,14.82,215.51,273.62,0.61,0.06,0.5,0.73
"1003","NCRN","MONO","SGAM","2004","Semotilus corporalis",6.25,0.77,4.75,7.75,0.8,0.22,0.37,1.23
